PULocationID,hour,day_of_week,trip_count
1,0,6,1
1,15,1,1
1,16,1,1
1,18,5,1
1,21,3,1
1,23,0,1
1,23,3,1
1,23,6,1
2,6,4,1
2,10,5,1
2,18,6,1
3,0,3,1
3,3,1,2
3,3,2,1
3,3,3,2
3,3,6,2
3,4,0,1
3,4,2,2
3,4,3,1
3,4,4,1
3,5,0,1
3,5,1,4
3,5,2,4
3,5,3,3
3,5,4,2
3,5,5,1
3,6,0,5
3,6,1,10
3,6,2,3
3,6,3,8
3,6,4,7
3,6,6,2
3,7,0,3
3,7,1,7
3,7,2,11
3,7,3,3
3,7,4,5
3,7,5,2
3,8,0,1
3,8,1,3
3,8,2,2
3,8,3,2
3,8,4,4
3,8,5,1
3,8,6,1
3,9,0,4
3,9,1,7
3,9,2,4
3,9,3,5
3,9,4,6
3,9,5,1
3,10,0,2
3,10,1,2
3,10,2,3
3,10,3,8
3,10,4,3
3,10,5,3
3,11,0,2
3,11,1,2
3,11,2,1
3,11,3,4
3,11,4,2
3,11,5,3
3,11,6,1
3,12,0,2
3,12,1,2
3,12,2,3
3,12,3,4
3,12,4,5
3,12,5,3
3,12,6,2
3,13,0,2
3,13,1,4
3,13,2,3
3,13,3,3
3,13,4,6
3,13,5,3
3,13,6,1
3,14,0,2
3,14,1,3
3,14,2,2
3,14,3,2
3,14,4,2
3,14,5,2
3,15,0,1
3,15,1,2
3,15,2,3
3,15,5,3
3,16,0,1
3,16,2,2
3,16,3,2
3,16,4,3
3,17,0,1
3,17,1,2
3,17,2,3
3,17,4,1
3,17,5,1
3,18,1,2
3,18,3,1
3,18,4,3
3,18,5,1
3,19,4,2
3,20,5,1
3,21,2,1
3,21,3,2
3,22,4,1
3,22,5,1
3,22,6,1
4,0,0,6
4,0,1,6
4,0,2,19
4,0,3,35
4,0,4,42
4,0,5,176
4,0,6,153
4,1,0,10
4,1,1,13
4,1,2,15
4,1,3,40
4,1,4,52
4,1,5,254
4,1,6,198
4,2,0,2
4,2,1,16
4,2,2,6
4,2,3,37
4,2,4,34
4,2,5,216
4,2,6,192
4,3,1,1
4,3,2,2
4,3,3,30
4,3,4,13
4,3,5,128
4,3,6,89
4,4,0,2
4,4,1,2
4,4,2,1
4,4,3,25
4,4,4,3
4,4,5,47
4,4,6,45
4,5,0,1
4,5,1,2
4,5,2,2
4,5,3,6
4,5,4,4
4,5,5,1
4,5,6,2
4,6,0,4
4,6,1,3
4,6,2,5
4,6,3,5
4,6,4,1
4,6,5,1
4,7,0,5
4,7,1,7
4,7,2,11
4,7,3,14
4,7,4,7
4,7,5,5
4,7,6,3
4,8,0,9
4,8,1,11
4,8,2,12
4,8,3,15
4,8,4,14
4,8,5,4
4,8,6,5
4,9,0,7
4,9,1,17
4,9,2,14
4,9,3,9
4,9,4,14
4,9,5,9
4,9,6,7
4,10,0,9
4,10,1,11
4,10,2,11
4,10,3,17
4,10,4,18
4,10,5,13
4,10,6,6
4,11,0,14
4,11,1,4
4,11,2,6
4,11,3,13
4,11,4,12
4,11,5,16
4,11,6,10
4,12,0,5
4,12,1,7
4,12,2,14
4,12,3,14
4,12,4,10
4,12,5,19
4,12,6,8
4,13,0,7
4,13,1,9
4,13,2,10
4,13,3,12
4,13,4,14
4,13,5,15
4,13,6,8
4,14,0,3
4,14,1,16
4,14,2,15
4,14,3,21
4,14,4,17
4,14,5,15
4,14,6,6
4,15,0,11
4,15,1,13
4,15,2,14
4,15,3,14
4,15,4,15
4,15,5,11
4,15,6,7
4,16,0,5
4,16,1,8
4,16,2,3
4,16,3,6
4,16,4,11
4,16,5,21
4,16,6,5
4,17,0,11
4,17,1,7
4,17,2,9
4,17,3,15
4,17,4,17
4,17,5,17
4,17,6,7
4,18,0,9
4,18,1,10
4,18,2,11
4,18,3,17
4,18,4,9
4,18,5,16
4,18,6,6
4,19,0,9
4,19,1,8
4,19,2,10
4,19,3,19
4,19,4,22
4,19,5,24
4,19,6,11
4,20,0,6
4,20,1,14
4,20,2,10
4,20,3,26
4,20,4,27
4,20,5,24
4,20,6,5
4,21,0,7
4,21,1,15
4,21,2,15
4,21,3,23
4,21,4,43
4,21,5,42
4,21,6,9
4,22,0,7
4,22,1,10
4,22,2,11
4,22,3,30
4,22,4,75
4,22,5,69
4,22,6,4
4,23,0,6
4,23,1,17
4,23,2,9
4,23,3,29
4,23,4,109
4,23,5,129
4,23,6,10
5,4,4,1
5,14,3,1
5,19,3,1
6,1,2,1
6,3,3,1
6,6,1,1
6,11,4,1
6,12,2,1
6,12,3,1
6,13,4,1
6,13,6,1
6,14,4,1
6,14,5,1
6,15,1,1
6,15,4,1
6,16,0,1
6,16,1,2
6,16,3,2
6,16,5,1
